# BEAST v1.7.4, r5154
# Generated Fri Sep 25 21:47:24 BST 2015 [seed=1443214044375]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CentralPacificIslands)	tmrca(MainHawaiian)	tmrca(NorthWesternHawaiian)	tmrca(Hawaii)	constant.popSize	clock.rate	treeLikelihood	coalescent
18000	-5147.498843040814	-1.0422028298153183	-5146.456640210999	0.19222764734903425	0.09159868052563344	0.05278079368125138	0.09159868052563344	0.013850533984218087	0.45870220216049246	1.0	-5146.456640210999	2.16143677744258
19000	-5147.062264518482	-0.4168529633488376	-5146.645411555133	0.17966251333910388	0.0924018620101823	0.06026036091774894	0.0924018620101823	0.015188495984365584	0.3514116930976448	1.0	-5146.645411555133	2.875046614303727
20000	-5147.180732146014	-1.6899183791885544	-5145.490813766825	0.17127155286833684	0.09404607035653181	0.0612203926419938	0.09404607035653181	0.020981102343409268	0.44333268046875757	1.0	-5145.490813766825	1.6741195315841217
21000	-5139.091323812986	0.3050071986235938	-5139.39633101161	0.1783102823982377	0.09360746984727697	0.057687849945659286	0.09360746984727697	0.016338755672250526	0.2482272905640423	1.0	-5139.39633101161	2.996661937379156
22000	-5143.252642739777	-0.2090129599236321	-5143.043629779853	0.16615480891616785	0.08744157963961242	0.05701799526834205	0.08744157963961242	0.017697515864619692	0.17765662468117543	1.0	-5143.043629779853	2.097593142204548
23000	-5131.623062006021	-2.024040762460037	-5129.599021243562	0.17098257413992857	0.09480335831952019	0.059551881273742696	0.09480335831952019	0.01668434518699358	0.4981080960852647	1.0	-5129.599021243562	1.3135298411447582
24000	-5118.739203379086	0.047241618778537386	-5118.786444997864	0.17804786083039076	0.09590758831677815	0.056136852483374744	0.09590758831677815	0.015983216155502564	0.20555100329127482	1.0	-5118.786444997864	2.4996893028410714
25000	-5126.315355404893	0.8023594906074694	-5127.1177148955	0.16484787085245378	0.09369854815225391	0.05918156352756087	0.09369854815225391	0.013637113887334863	0.32437199512299014	1.0	-5127.1177148955	3.4433286768441462
26000	-5124.378901305065	-0.10257416182266965	-5124.276327143242	0.18864206714823514	0.11116420432361032	0.0634076868836629	0.11116420432361032	0.012764502156448388	0.23709297252348832	1.0	-5124.276327143242	2.534253261752437
27000	-5104.920353647507	0.1492870591294615	-5105.069640706636	0.16812304883035414	0.10381988883549843	0.055900832383826086	0.10381988883549843	0.013852425399198095	0.35005731013998725	1.0	-5105.069640706636	2.9506121081994827
28000	-5106.57225002487	-0.4204951300153348	-5106.151754894855	0.17051961686827244	0.08776146958101827	0.055560256420617876	0.08776146958101827	0.016184950548327394	0.37137800513482816	1.0	-5106.151754894855	2.9046130052343466
29000	-5084.197660775773	-0.5620457309925571	-5083.635615044781	0.18919430597662315	0.1045299268217216	0.05865775295906509	0.1045299268217216	0.01436659701432617	0.27659802877754747	1.0	-5083.635615044781	2.46840727117995
30000	-5084.151610434264	-1.1167141599512878	-5083.034896274312	0.2126301809544901	0.09634677727164477	0.06379732712058181	0.09634677727164477	0.014626201117292627	0.3769527418891119	1.0	-5083.034896274312	2.2232933761450218
