# BEAST v1.7.4, r5154
# Generated Fri Sep 25 21:58:52 BST 2015 [seed=1443214732102]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CentralPacificIslands)	tmrca(MainHawaiian)	tmrca(NorthWesternHawaiian)	tmrca(Hawaii)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
0	-7638.32964535108	-75.11955272323735	-7563.210092627843	14.697038312042281	14.622454903290828	8.508659825318501	0.05803213507575942	5.92284853051666	3.7	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05	-7563.210092627843	-71.94585986961287
1000	-5432.936246552502	-34.027431436987015	-5398.908815115515	3.3933817250888736	1.9184074304870151	1.2375657270572915	1.9184074304870151	0.3587335574682052	5.816066082474538	2.0	0.2516841956813164	0.2499999999	0.24831580451868362	0.2499999999	0.05	-5398.908815115515	-30.40144730065993
2000	-5366.979090469209	-34.09213628354997	-5332.886954185659	3.3741506944692383	1.7337453094057287	1.1307344433901474	1.7337453094057287	0.3264302638287526	7.419353107993428	2.545376127663868	0.2428663904754786	0.2588178051058378	0.24831580451868362	0.2499999999	0.05	-5332.886954185659	-30.010301714022525
3000	-5365.485553679235	-33.5056390376584	-5331.979914641576	3.257146860463773	1.9390145575667532	1.17602437827964	1.9390145575667532	0.258851953874387	6.941975934270903	2.545376127663868	0.2428663904754786	0.2677929405863053	0.24831580451868362	0.24102486441953247	0.05	-5331.979914641576	-29.490309888550197
4000	-5362.184198113162	-33.876340334238876	-5328.307857778923	3.368723026229807	1.8240589331060355	1.0504338446811097	1.8240589331060355	0.23726969596104627	7.910443763915375	2.545376127663868	0.2364789439345408	0.2735127763123099	0.24898341533361681	0.24102486441953247	0.05	-5328.307857778923	-29.730413754040285
5000	-5290.549075218973	-33.17928820518998	-5257.369787013783	3.1647186444702666	1.710865288157151	1.10830004745694	1.710865288157151	0.29597720741226813	3.9349898650788826	3.633371912897403	0.23624649270869355	0.2735127763123099	0.24921586655946407	0.24102486441953247	0.05	-5257.369787013783	-29.35019478370433
6000	-5271.093208835773	-34.25972549127771	-5236.833483344495	3.6531166309093672	1.8919113691827876	1.145950311243868	1.8919113691827876	0.3011334621037766	4.292995902944676	3.6686892184055298	0.24815340668016567	0.2735127763123099	0.23730895258799195	0.24102486441953247	0.05	-5236.833483344495	-30.33205591411287
7000	-5246.014537943714	-34.293920338638	-5211.720617605076	3.3870773775535525	1.9289032114899276	1.2108857370921071	1.9289032114899276	0.2990218847680286	4.060516919706239	4.201888066916733	0.2565513316698413	0.2823093350840791	0.23730895258799195	0.22383038065808766	0.05	-5211.720617605076	-30.254293257646204
8000	-5247.362254423921	-34.42830563502538	-5212.933948788896	3.6646909053910854	1.8927483673465473	1.2152786599517165	1.8927483673465473	0.3156960422689056	5.051084195275309	4.201888066916733	0.25889374140499566	0.2823093350840791	0.23730895258799195	0.2214879709229333	0.05	-5212.933948788896	-30.170385927289455
9000	-5242.212671100334	-36.46838125886343	-5205.74428984147	3.729408560220876	1.918744779567493	1.1498472777206268	1.918744779567493	0.2974524355621541	10.023993200967938	4.455801461565638	0.25889374140499566	0.2823093350840791	0.23730895258799195	0.2214879709229333	0.05	-5205.74428984147	-31.448953726842166
10000	-5194.191735334207	-34.9263487024343	-5159.265386631772	3.613743692599717	1.8747198093467337	1.212065256579498	1.8747198093467337	0.3029918570336417	5.19425418818001	7.530100512641138	0.25889374140499566	0.2823093350840791	0.23730895258799195	0.2214879709229333	0.05	-5159.265386631772	-29.785589398729357
11000	-5196.986155431679	-34.611473905261775	-5162.374681526418	3.5254153051270114	1.9588501646505254	0.9314740554359021	1.9588501646505254	0.24909651550802814	5.2949428603995115	9.107558708378562	0.2531021934413239	0.2881008830477509	0.23730895258799195	0.2214879709229333	0.05	-5162.374681526418	-29.12571600383429
